id,department,classification,municipality,municipalCapital,latitude,longitude,altitude,northCoordinate,eastCoordinate,origin
182,BOLIVAR,MUNICIPIO,EL GUAMO,EL GUAMO,N10° 2' 5{COM},W74°58'51{COM},100,1601290,901336,BOGOTA
183,BOLIVAR,MUNICIPIO,EL PEÑÓN,EL PEÑON,N 8°59'36{COM},W73°57'13{COM},25,1485974,1013999,BOGOTA
184,BOLIVAR,MUNICIPIO,HATILLO DE LOBA,HATILLO DE LOBA,N 8°57'30{COM},W74° 4'46{COM},26,1482100,1000162,BOGOTA
185,BOLIVAR,MUNICIPIO,MAGANGUÉ,MAGANGUE,N 9°14'30{COM},W74°45' 6{COM},20,1513507,926291,BOGOTA
186,BOLIVAR,MUNICIPIO,MAHATES,MAHATES,N10°14'20{COM},W75°11'28{COM},10,1623947,878357,BOGOTA
187,BOLIVAR,MUNICIPIO,MARGARITA,MARGARITA,N 9° 9'21{COM},W74°17'16{COM},25,1503951,977263,BOGOTA
188,BOLIVAR,MUNICIPIO,MARIA LA BAJA,MARIA LA BAJA,N 9°59' 6{COM},W75°18'17{COM},12,1595904,865802,BOGOTA
189,BOLIVAR,MUNICIPIO,MOMPÓS,MOMPOS,N 9°14'28{COM},W74°25'36{COM},20,1513395,962006,BOGOTA
190,BOLIVAR,MUNICIPIO,MONTECRISTO,MONTECRISTO,N 8°17'59{COM},W74°28'32{COM},50,1409279,956524,BOGOTA
191,BOLIVAR,MUNICIPIO,MORALES,MORALES,N 8°16'49{COM},W73°52'18{COM},41,1407113,1023053,BOGOTA
192,BOLIVAR,MUNICIPIO,PINILLOS,PINILLOS,N 8°55' 1{COM},W74°27'57{COM},20,1477544,957664,BOGOTA
193,BOLIVAR,MUNICIPIO,REGIDOR,REGIDOR,N 8°40'10{COM},W73°49'32{COM},10,1450158,1028105,BOGOTA
194,BOLIVAR,MUNICIPIO,RIOVIEJO,RIOVIEJO,N 8°35'25{COM},W73°50'38{COM},10,1441401,1026093,BOGOTA
195,BOLIVAR,MUNICIPIO,SAN CRISTÓBAL,SAN CRISTOBAL,N10°23'51{COM},W75° 4' 7{COM},5,1641450,891835,BOGOTA
196,BOLIVAR,MUNICIPIO,SAN ESTANISLAO,SAN ESTANISLAO,N10°24' 1{COM},W75° 9'11{COM},25,1641788,882587,BOGOTA
197,BOLIVAR,MUNICIPIO,SAN FERNANDO,SAN FERNANDO,N 9°13' 7{COM},W74°19'44{COM},25,1510897,972749,BOGOTA
198,BOLIVAR,MUNICIPIO,SAN JACINTO,SAN JACINTO,N 9°49'52{COM},W75° 7'34{COM},239,1578813,885336,BOGOTA
199,BOLIVAR,MUNICIPIO,SAN JACINTO DEL CAUCA,SAN JACINTO DEL CAUCA,N 8°15' 8{COM},W74°43'25{COM},25,1404061,929187,BOGOTA
200,BOLIVAR,MUNICIPIO,SAN JUAN NEPOMUCENO,SAN JUAN NEPOMUCENO,N 9°57'19{COM},W75° 5' 9{COM},166,1592535,889797,BOGOTA
201,BOLIVAR,MUNICIPIO,SAN MARTÍN DE LOBA,SAN MARTIN DE LOBA,N 8°56'36{COM},W74° 2'32{COM},27,1480441,1004256,BOGOTA
202,BOLIVAR,MUNICIPIO,SAN PABLO,SAN PABLO,N 7°28'56{COM},W73°55'26{COM},75,1318848,1017333,BOGOTA
203,BOLIVAR,MUNICIPIO,SANTA CATALINA,SANTA CATALINA,N10°36'26{COM},W75°17'30{COM},33,1664738,867493,BOGOTA
204,BOLIVAR,MUNICIPIO,SANTA ROSA,SANTA ROSA,N10°26'53{COM},W75°22'25{COM},50,1647164,858451,BOGOTA
205,BOLIVAR,MUNICIPIO,SANTA ROSA DEL SUR,SANTA ROSA DEL SUR,N 7°57'53{COM},W74° 3'18{COM},600,1372207,1002857,BOGOTA
206,BOLIVAR,MUNICIPIO,SIMITÍ,SIMITI,N 7°57'40{COM},W73°56'50{COM},25,1371810,1014741,BOGOTA
207,BOLIVAR,MUNICIPIO,SOPLAVIENTO,SOPLAVIENTO,N10°23'36{COM},W75° 8'28{COM},5,1641015,883893,BOGOTA
208,BOLIVAR,MUNICIPIO,TALAIGUA NUEVO,TALAIGUA NUEVO,N 9°18'23{COM},W74°34' 8{COM},16,1520633,946387,BOGOTA
209,BOLIVAR,MUNICIPIO,TIQUISIO,PUERTO RICO,N 8°33'36{COM},W74°16' 2{COM},25,1438049,979489,BOGOTA
210,BOLIVAR,MUNICIPIO,TURBACO,TURBACO,N10°19'53{COM},W75°24'43{COM},179,1634273,854199,BOGOTA
211,BOLIVAR,MUNICIPIO,TURBANA,TURBANA,N10°16'35{COM},W75°26'44{COM},50,1628204,850491,BOGOTA
212,BOLIVAR,MUNICIPIO,VILLANUEVA,VILLANUEVA,N10°26'51{COM},W75°16'35{COM},112,1647060,869098,BOGOTA
213,BOLIVAR,MUNICIPIO,ZAMBRANO,ZAMBRANO,N 9°44'58{COM},W74°49' 5{COM},21,1569689,919114,BOGOTA
214,BOYACÁ,MUNICIPIO,TUNJA,TUNJA,N 5°32' 8{COM},W73°22' 4{COM},2778,1103610,1079024,BOGOTA
215,BOYACÁ,MUNICIPIO,ALMEIDA,ALMEIDA,N 4°58'25{COM},W73°22'57{COM},1925,1041461,1077462,BOGOTA
216,BOYACÁ,MUNICIPIO,AQUITANIA,AQUITANIA,N 5°31'11{COM},W72°53'15{COM},3042,1101945,1132253,BOGOTA
217,BOYACÁ,MUNICIPIO,ARCABUCO,ARCABUCO,N 5°45'25{COM},W73°26'30{COM},2563,1128085,1070809,BOGOTA
218,BOYACÁ,MUNICIPIO,BELÉN,BELEN,N 5°59'34{COM},W72°55' 0{COM},3144,1154262,1128914,BOGOTA
219,BOYACÁ,MUNICIPIO,BERBEO,BERBEO,N 5°13'51{COM},W73° 7'50{COM},1525,1069945,1105365,BOGOTA
220,BOYACÁ,MUNICIPIO,BETÉITIVA,BETEITIVA,N 5°55' 4{COM},W72°48'44{COM},2570,1145992,1140500,BOGOTA
221,BOYACÁ,MUNICIPIO,BOAVITA,BOAVITA,N 6°20' 1{COM},W72°35'24{COM},2161,1192055,1164987,BOGOTA
222,BOYACÁ,MUNICIPIO,BOYACÁ,BOYACA,N 5°27'28{COM},W73°22' 0{COM},2411,1095009,1079157,BOGOTA
223,BOYACÁ,MUNICIPIO,BRICEÑO,BRICEÑO,N 5°41'36{COM},W73°55'37{COM},1340,1121013,1017057,BOGOTA
224,BOYACÁ,MUNICIPIO,BUENAVISTA,BUENAVISTA,N 5°30'52{COM},W73°56'47{COM},2197,1101230,1014907,BOGOTA
225,BOYACÁ,MUNICIPIO,BUSBANZÁ,BUSBANZA,N 5°50' 4{COM},W72°53'14{COM},2500,1136756,1132212,BOGOTA
226,BOYACÁ,MUNICIPIO,CALDAS,CALDAS,N 5°33'27{COM},W73°52' 8{COM},2650,1105994,1023494,BOGOTA
227,BOYACÁ,MUNICIPIO,CAMPOHERMOSO,CAMPOHERMOSO,N 5° 2' 1{COM},W73° 6'29{COM},1300,1048136,1107893,BOGOTA
228,BOYACÁ,MUNICIPIO,CERINZA,CERINZA,N 5°57'29{COM},W72°57' 4{COM},3269,1150414,1125107,BOGOTA
229,BOYACÁ,MUNICIPIO,CHINAVITA,CHINAVITA,N 5°10'13{COM},W73°22'21{COM},1757,1063212,1078547,BOGOTA
230,BOYACÁ,MUNICIPIO,CHIQUINQUIRÁ,CHIQUINQUIRA,N 5°37' 8{COM},W73°49'12{COM},2565,1112785,1028908,BOGOTA
231,BOYACÁ,MUNICIPIO,CHÍQUIZA,CHIQUIZA,N 5°36'30{COM},W73°29'20{COM},2600,1111644,1065595,BOGOTA
232,BOYACÁ,MUNICIPIO,CHISCAS,CHISCAS,N 6°33'22{COM},W72°30'12{COM},2400,1216647,842664,ESTE
233,BOYACÁ,MUNICIPIO,CHITA,CHITA,N 6°11'24{COM},W72°28'38{COM},2949,1176139,845443,ESTE
234,BOYACÁ,MUNICIPIO,CHITARAQUE,CHITARAQUE,N 6° 1'52{COM},W73°27' 0{COM},1650,1158405,1069851,BOGOTA
235,BOYACÁ,MUNICIPIO,CHIVATÁ,CHIVATA,N 5°33'38{COM},W73°17'11{COM},2900,1106387,1088039,BOGOTA
236,BOYACÁ,MUNICIPIO,CHIVOR,CHIVOR,N 4°53'25{COM},W73°22'22{COM},1850,1032247,1078550,BOGOTA
237,BOYACÁ,MUNICIPIO,CIÉNEGA,CIENEGA,N 5°24'45{COM},W73°18' 2{COM},2400,1090010,1086491,BOGOTA
238,BOYACÁ,MUNICIPIO,CÓMBITA,COMBITA,N 5°38'10{COM},W73°19'38{COM},2825,1114737,1083504,BOGOTA
239,BOYACÁ,MUNICIPIO,COPER,COPER,N 5°28'41{COM},W74° 2'56{COM},950,1097204,1003549,BOGOTA
240,BOYACÁ,MUNICIPIO,CORRALES,CORRALES,N 5°49'54{COM},W72°50'53{COM},2388,1136458,1136552,BOGOTA
241,BOYACÁ,MUNICIPIO,COVARACHÍA,COVARACHIA,N 6°30'11{COM},W72°44'33{COM},2350,1210753,1148059,BOGOTA
242,BOYACÁ,MUNICIPIO,CUBARÁ,CUBARA,N 7° 0'18{COM},W72° 6'42{COM},357,1266192,886098,ESTE
243,BOYACÁ,MUNICIPIO,CUCAITA,CUCAITA,N 5°32'45{COM},W73°27'26{COM},2634,1104736,1069111,BOGOTA
244,BOYACÁ,MUNICIPIO,CUÍTIVA,CUITIVA,N 5°34'56{COM},W72°58' 9{COM},2750,1108840,1123189,BOGOTA
245,BOYACÁ,MUNICIPIO,DUITAMA,DUITAMA,N 5°49'42{COM},W73° 2'16{COM},2532,1136047,1115536,BOGOTA
246,BOYACÁ,MUNICIPIO,EL COCUY,EL COCUY,N 6°24'40{COM},W72°26'56{COM},2700,1200590,848644,ESTE
247,BOYACÁ,MUNICIPIO,EL ESPINO,EL ESPINO,N 6°29'12{COM},W72°29'59{COM},2128,1208964,843042,ESTE
248,BOYACÁ,MUNICIPIO,FIRAVITOBA,FIRAVITOBA,N 5°39'10{COM},W72°59'47{COM},2500,1116638,1120158,BOGOTA
249,BOYACÁ,MUNICIPIO,FLORESTA,FLORESTA,N 5°51'44{COM},W72°55'21{COM},2500,1139820,1128298,BOGOTA
250,BOYACÁ,MUNICIPIO,GACHANTIVÁ,GACHANTIVA,N 5°45'33{COM},W73°32'36{COM},2450,1128319,1059547,BOGOTA
251,BOYACÁ,MUNICIPIO,GÁMEZA,GAMEZA,N 5°48'21{COM},W72°48'30{COM},2750,1133610,1140958,BOGOTA
252,BOYACÁ,MUNICIPIO,GARAGOA,GARAGOA,N 5° 5' 0{COM},W73°21'59{COM},1675,1053598,1079235,BOGOTA
253,BOYACÁ,MUNICIPIO,GUACAMAYAS,GUACAMAYAS,N 6°27'46{COM},W72°30'16{COM},2195,1206323,842512,ESTE
254,BOYACÁ,MUNICIPIO,GUATEQUE,GUATEQUE,N 5° 0'34{COM},W73°28'20{COM},1810,1045414,1067506,BOGOTA
255,BOYACÁ,MUNICIPIO,GUAYATÁ,GUAYATA,N 4°58' 4{COM},W73°29'38{COM},1700,1040804,1065107,BOGOTA
256,BOYACÁ,MUNICIPIO,GÜICÁN,GÜICAN,N 6°27'56{COM},W72°24'54{COM},2880,1206603,852410,ESTE
257,BOYACÁ,MUNICIPIO,IZA,IZA,N 5°36'54{COM},W72°58'57{COM},2500,1112463,1121705,BOGOTA
258,BOYACÁ,MUNICIPIO,JENESANO,JENESANO,N 5°23'20{COM},W73°22' 5{COM},2075,1087390,1079012,BOGOTA
259,BOYACÁ,MUNICIPIO,JERICÓ,JERICO,N 6° 8'57{COM},W72°34'27{COM},3100,1171651,834697,ESTE
260,BOYACÁ,MUNICIPIO,LA CAPILLA,LA CAPILLA,N 5° 5'56{COM},W73°26'54{COM},1975,1055309,1070146,BOGOTA
261,BOYACÁ,MUNICIPIO,LA UVITA,LA UVITA,N 6°19'15{COM},W72°33'51{COM},2367,1190639,835858,ESTE
262,BOYACÁ,MUNICIPIO,LA VICTORIA,LA VICTORIA,N 5°31'30{COM},W74°14'18{COM},1400,1102398,982557,BOGOTA
263,BOYACÁ,MUNICIPIO,LABRANZAGRANDE,LABRANZAGRANDE,N 5°33'57{COM},W72°34'52{COM},1100,1107122,1166201,BOGOTA
264,BOYACÁ,MUNICIPIO,MACANAL,MACANAL,N 4°58'29{COM},W73°19'25{COM},1850,1041591,1083993,BOGOTA
265,BOYACÁ,MUNICIPIO,MARIPÍ,MARIPI,N 5°33' 9{COM},W74° 0'31{COM},1250,1105437,1008012,BOGOTA
266,BOYACÁ,MUNICIPIO,MIRAFLORES,MIRAFLORES,N 5°11'53{COM},W73° 8'54{COM},1523,1066317,1103399,BOGOTA
267,BOYACÁ,MUNICIPIO,MONGUA,MONGUA,N 5°45'23{COM},W72°48' 8{COM},3000,1128143,1141648,BOGOTA
268,BOYACÁ,MUNICIPIO,MONGUÍ,MONGUI,N 5°43'31{COM},W72°51'12{COM},2900,1124689,1135992,BOGOTA
269,BOYACÁ,MUNICIPIO,MONIQUIRÁ,MONIQUIRA,N 5°52'49{COM},W73°34'33{COM},1669,1141710,1055935,BOGOTA
270,BOYACÁ,MUNICIPIO,MOTAVITA,MOTAVITA,N 5°34'47{COM},W73°22'18{COM},2908,1108495,1078587,BOGOTA
271,BOYACÁ,MUNICIPIO,MUZO,MUZO,N 5°32' 7{COM},W74° 7' 3{COM},843,1103532,995946,BOGOTA
272,BOYACÁ,MUNICIPIO,NOBSA,NOBSA,N 5°46'25{COM},W72°56'40{COM},2500,1130014,1125887,BOGOTA
273,BOYACÁ,MUNICIPIO,NUEVO COLÓN,NUEVO COLON,N 5°21'31{COM},W73°27'38{COM},2450,1084030,1068763,BOGOTA
274,BOYACÁ,MUNICIPIO,OICATÁ,OICATA,N 5°35'52{COM},W73°18'42{COM},2525,1110500,1085233,BOGOTA
275,BOYACÁ,MUNICIPIO,OTANCHE,OTANCHE,N 5°39'40{COM},W74°11' 7{COM},1040,1117449,988438,BOGOTA
276,BOYACÁ,MUNICIPIO,PACHAVITA,PACHAVITA,N 5° 8'33{COM},W73°24' 3{COM},2000,1060137,1075409,BOGOTA
277,BOYACÁ,MUNICIPIO,PÁEZ,PAEZ,N 5° 6'18{COM},W73° 3'19{COM},1500,1056041,1113734,BOGOTA
278,BOYACÁ,MUNICIPIO,PAIPA,PAIPA,N 5°47' 1{COM},W73° 6'49{COM},2513,1131086,1107145,BOGOTA
279,BOYACÁ,MUNICIPIO,PAJARITO,PAJARITO,N 5°17'39{COM},W72°42'22{COM},793,1077038,1152415,BOGOTA
280,BOYACÁ,MUNICIPIO,PANQUEBA,PANQUEBA,N 6°26'49{COM},W72°27'47{COM},2250,1204559,847087,ESTE
281,BOYACÁ,MUNICIPIO,PAUNA,PAUNA,N 5°39'32{COM},W73°58'57{COM},1121,1117203,1010903,BOGOTA
282,BOYACÁ,MUNICIPIO,PAYA,PAYA,N 5°37'41{COM},W72°25'39{COM},980,1113964,850797,ESTE
283,BOYACÁ,MUNICIPIO,PAZ DE RIO,PAZ DEL RIO,N 5°59'15{COM},W72°45'10{COM},2213,1153720,1147065,BOGOTA
284,BOYACÁ,MUNICIPIO,PESCA,PESCA,N 5°33'40{COM},W73° 3'15{COM},2600,1106488,1113773,BOGOTA
285,BOYACÁ,MUNICIPIO,PISVA,PISVA,N 5°43'34{COM},W72°29'19{COM},1500,1124827,844051,ESTE
286,BOYACÁ,MUNICIPIO,PUERTO BOYACÁ,PUERTO BOYACA,N 5°58'42{COM},W74°35'23{COM},144,1152554,943663,BOGOTA
287,BOYACÁ,MUNICIPIO,QUÍPAMA,QUIPAMA,N 5°31'12{COM},W74°10'57{COM},1200,1101844,988743,BOGOTA
288,BOYACÁ,MUNICIPIO,RAMIRIQUÍ,RAMIRIQUI,N 5°24'14{COM},W73°20'20{COM},2313,1089053,1082243,BOGOTA
289,BOYACÁ,MUNICIPIO,RÁQUIRA,RAQUIRA,N 5°32'27{COM},W73°38' 8{COM},2150,1104165,1049350,BOGOTA
290,BOYACÁ,MUNICIPIO,RONDÓN,RONDON,N 5°21'32{COM},W73°12'45{COM},2075,1084094,1096259,BOGOTA
291,BOYACÁ,MUNICIPIO,SABOYÁ,SABOYA,N 5°42' 3{COM},W73°46'10{COM},2625,1121850,1034504,BOGOTA
292,BOYACÁ,MUNICIPIO,SÁCHICA,SACHICA,N 5°35'11{COM},W73°32'43{COM},2152,1109211,1059349,BOGOTA
293,BOYACÁ,MUNICIPIO,SAMACÁ,SAMACA,N 5°29'40{COM},W73°29'19{COM},2604,1099049,1065638,BOGOTA
294,BOYACÁ,MUNICIPIO,SAN EDUARDO,SAN EDUARDO,N 5°13'54{COM},W73° 3'32{COM},1950,1070050,1113311,BOGOTA
295,BOYACÁ,MUNICIPIO,SAN JOSÉ DE PARE,SAN JOSE DE PARE,N 6° 1'15{COM},W73°33' 4{COM},1525,1157257,1058658,BOGOTA
296,BOYACÁ,MUNICIPIO,SAN LUIS DE GACENO,SAN LUIS DE GACENO,N 4°49'27{COM},W73°10'15{COM},400,1024962,1100962,BOGOTA
297,BOYACÁ,MUNICIPIO,SAN MATEO,SAN MATEO,N 6°24'20{COM},W72°33'37{COM},2221,1200010,836315,ESTE
298,BOYACÁ,MUNICIPIO,SAN MIGUEL DE SEMA,SAN MIGUEL DE SEMA,N 5°31'15{COM},W73°43'33{COM},2543,1101947,1039347,BOGOTA
299,BOYACÁ,MUNICIPIO,SAN PABLO DE BORBUR,SAN PABLO DE BORBUR,N 5°39'11{COM},W74° 4'22{COM},678,1116557,1000902,BOGOTA
300,BOYACÁ,MUNICIPIO,SANTA MARÍA,SANTA MARIA,N 4°51'52{COM},W73°16' 2{COM},900,1029403,1090263,BOGOTA
301,BOYACÁ,MUNICIPIO,SANTA ROSA DE VITERBO,SANTA ROSA DE VITERBO,N 5°52'37{COM},W72°59'10{COM},2748,1141435,1121249,BOGOTA
302,BOYACÁ,MUNICIPIO,SANTA SOFÍA,SANTA SOFIA,N 5°43' 1{COM},W73°36'20{COM},2370,1123644,1052658,BOGOTA
303,BOYACÁ,MUNICIPIO,SANTANA,SANTANA,N 6° 3'23{COM},W73°28'20{COM},1591,1161198,1067388,BOGOTA
304,BOYACÁ,MUNICIPIO,SATIVANORTE,SATIVANORTE,N 6° 8' 4{COM},W72°42'41{COM},2600,1169986,1151608,BOGOTA
305,BOYACÁ,MUNICIPIO,SATIVASUR,SATIVASUR,N 6° 5'45{COM},W72°42'56{COM},2600,1165714,1151158,BOGOTA
306,BOYACÁ,MUNICIPIO,SIACHOQUE,SIACHOQUE,N 5°30'55{COM},W73°14'50{COM},2700,1101385,1092387,BOGOTA
307,BOYACÁ,MUNICIPIO,SOATÁ,SOATA,N 6°20'13{COM},W72°41' 5{COM},1960,1192394,1154501,BOGOTA
308,BOYACÁ,MUNICIPIO,SOCHA,SOCHA,N 6° 0' 2{COM},W72°41'43{COM},2667,1155180,1153430,BOGOTA
309,BOYACÁ,MUNICIPIO,SOCOTÁ,SOCOTA,N 6° 2'38{COM},W72°38'24{COM},2400,1159989,1159539,BOGOTA
310,BOYACÁ,MUNICIPIO,SOGAMOSO,SOGAMOSO,N 5°43'17{COM},W72°55'50{COM},2492,1124241,1127437,BOGOTA
311,BOYACÁ,MUNICIPIO,SOMONDOCO,SOMONDOCO,N 4°59'17{COM},W73°26'10{COM},1680,1043053,1071514,BOGOTA
312,BOYACÁ,MUNICIPIO,SORA,SORA,N 5°34' 8{COM},W73°27'17{COM},2700,1107286,1069385,BOGOTA
313,BOYACÁ,MUNICIPIO,SORACÁ,SORACA,N 5°30'10{COM},W73°20' 8{COM},2799,1099990,1082599,BOGOTA
314,BOYACÁ,MUNICIPIO,SOTAQUIRÁ,SOTAQUIRA,N 5°46' 9{COM},W73°15' 5{COM},2650,1129464,1091885,BOGOTA
315,BOYACÁ,MUNICIPIO,SUSACÓN,SUSACON,N 6°13'59{COM},W72°41'37{COM},2484,1180899,1153548,BOGOTA
316,BOYACÁ,MUNICIPIO,SUTAMARCHÁN,SUTAMARCHAN,N 5°37'54{COM},W73°37'24{COM},2093,1114211,1050696,BOGOTA
317,BOYACÁ,MUNICIPIO,SUTATENZA,SUTATENZA,N 5° 1'34{COM},W73°27'20{COM},1950,1047259,1069353,BOGOTA
318,BOYACÁ,MUNICIPIO,TASCO,TASCO,N 5°54'43{COM},W72°47' 9{COM},2525,1145354,1143424,BOGOTA
319,BOYACÁ,MUNICIPIO,TENZA,TENZA,N 5° 4'47{COM},W73°25'27{COM},1600,1053192,1072828,BOGOTA
320,BOYACÁ,MUNICIPIO,TIBANÁ,TIBANA,N 5°19'15{COM},W73°24' 3{COM},2085,1079859,1075387,BOGOTA
321,BOYACÁ,MUNICIPIO,TIBASOSA,TIBASOSA,N 5°44'55{COM},W73° 0'24{COM},2500,1127236,1118999,BOGOTA
322,BOYACÁ,MUNICIPIO,TINJACÁ,TINJACA,N 5°34'53{COM},W73°38'55{COM},2113,1108649,1047900,BOGOTA
323,BOYACÁ,MUNICIPIO,TIPACOQUE,TIPACOQUE,N 6°25'22{COM},W72°41'46{COM},1850,1201886,1153215,BOGOTA
324,BOYACÁ,MUNICIPIO,TOCA,TOCA,N 5°34' 1{COM},W73°11'17{COM},2700,1107109,1098935,BOGOTA
325,BOYACÁ,MUNICIPIO,TOGÜÍ,TOGÜI,N 5°56'24{COM},W73°31' 1{COM},1650,1148321,1062450,BOGOTA
326,BOYACÁ,MUNICIPIO,TÓPAGA,TOPAGA,N 5°46'17{COM},W72°50'10{COM},2900,1129794,1137890,BOGOTA
327,BOYACÁ,MUNICIPIO,TOTA,TOTA,N 5°33'50{COM},W72°59'23{COM},2875,1106808,1120915,BOGOTA
328,BOYACÁ,MUNICIPIO,TUNUNGUÁ,TUNUNGUA,N 5°43'57{COM},W73°56'11{COM},1250,1125344,1016009,BOGOTA
329,BOYACÁ,MUNICIPIO,TURMEQUÉ,TURMEQUE,N 5°19'38{COM},W73°29'40{COM},2450,1080555,1065009,BOGOTA
330,BOYACÁ,MUNICIPIO,TUTA,TUTA,N 5°41'30{COM},W73°13'52{COM},2600,1120896,1094144,BOGOTA
331,BOYACÁ,MUNICIPIO,TUTAZÁ,TUTAZA,N 6° 2' 8{COM},W72°51'37{COM},2800,1159008,1135148,BOGOTA
332,BOYACÁ,MUNICIPIO,ÚMBITA,UMBITA,N 5°13'26{COM},W73°27'40{COM},2500,1069131,1068716,BOGOTA
333,BOYACÁ,MUNICIPIO,VENTAQUEMADA,VENTAQUEMADA,N 5°22'10{COM},W73°31'31{COM},2642,1085221,1061587,BOGOTA
334,BOYACÁ,MUNICIPIO,VILLA DE LEYVA,VILLA DE LEYVA,N 5°38'19{COM},W73°31'43{COM},2143,1114989,1061190,BOGOTA
335,BOYACÁ,MUNICIPIO,VIRACACHÁ,VIRACACHA,N 5°26'21{COM},W73°18' 3{COM},2500,1092960,1086456,BOGOTA
336,BOYACÁ,MUNICIPIO,ZETAQUIRA,ZETAQUIRA,N 5°17' 7{COM},W73°10'23{COM},1661,1075959,1100644,BOGOTA
337,CALDAS,MUNICIPIO,MANIZALES,MANIZALES,N 5° 4'12{COM},W75°31'14{COM},2126,1052257,840340,BOGOTA
338,CALDAS,MUNICIPIO,AGUADAS,AGUADAS,N 5°36'53{COM},W75°27'36{COM},2181,1112498,847192,BOGOTA
339,CALDAS,MUNICIPIO,ANSERMA,ANSERMA,N 5°13'58{COM},W75°47'26{COM},1765,1070227,1143065,OESTE
340,CALDAS,MUNICIPIO,ARANZAZU,ARANZAZU,N 5°16'26{COM},W75°29'38{COM},1908,1074804,843348,BOGOTA
341,CALDAS,MUNICIPIO,BELALCÁZAR,BELALCAZAR,N 4°59'48{COM},W75°48'57{COM},1600,1044105,1140314,OESTE
342,CALDAS,MUNICIPIO,CHINCHINÁ,CHINCHINA,N 4°59' 7{COM},W75°36'28{COM},1378,1042893,1163397,OESTE
343,CALDAS,MUNICIPIO,FILADELFIA,FILADELFIA,N 5°17'60{COM},W75°33'50{COM},1575,1077711,835593,BOGOTA
344,CALDAS,MUNICIPIO,LA DORADA,LA DORADA,N 5°27'14{COM},W74°40' 8{COM},176,1094564,934838,BOGOTA
345,CALDAS,MUNICIPIO,LA MERCED,LA MERCED,N 5°24' 9{COM},W75°33' 2{COM},1800,1089046,837098,BOGOTA
346,CALDAS,MUNICIPIO,MANZANARES,MANZANARES,N 5°15'30{COM},W75° 9'25{COM},2075,1073009,880706,BOGOTA
347,CALDAS,MUNICIPIO,MARMATO,MARMATO,N 5°28'46{COM},W75°35'51{COM},1050,1097561,1164408,OESTE
348,CALDAS,MUNICIPIO,MARQUETALIA,MARQUETALIA,N 5°17'58{COM},W75° 3'26{COM},1275,1077538,891770,BOGOTA
349,CALDAS,MUNICIPIO,MARULANDA,MARULANDA,N 5°17'13{COM},W75°15'49{COM},2825,1076195,868885,BOGOTA
350,CALDAS,MUNICIPIO,NEIRA,NEIRA,N 5°10' 8{COM},W75°31'26{COM},1965,1063197,839995,BOGOTA
351,CALDAS,MUNICIPIO,NORCASIA,NORCASIA,N 5°34'40{COM},W74°53'27{COM},727,1108294,910258,BOGOTA
352,CALDAS,MUNICIPIO,PÁCORA,PACORA,N 5°31'47{COM},W75°27'45{COM},1814,1103096,846893,BOGOTA
353,CALDAS,MUNICIPIO,PALESTINA,PALESTINA,N 5° 1'15{COM},W75°37'41{COM},1600,1046821,1161139,OESTE
354,CALDAS,MUNICIPIO,PENSILVANIA,PENSILVANIA,N 5°23'13{COM},W75° 9'55{COM},2100,1087236,879807,BOGOTA
355,CALDAS,MUNICIPIO,RIOSUCIO,RIOSUCIO,N 5°25'28{COM},W75°42'21{COM},1783,1091449,1152413,OESTE
356,CALDAS,MUNICIPIO,RISARALDA,RISARALDA,N 5°10' 9{COM},W75°46'12{COM},1700,1063196,1145359,OESTE
357,CALDAS,MUNICIPIO,SALAMINA,SALAMINA,N 5°24'31{COM},W75°29'24{COM},1793,1089706,843814,BOGOTA
358,CALDAS,MUNICIPIO,SAMANÁ,SAMANA,N 5°24'57{COM},W74°59'45{COM},1250,1090400,898595,BOGOTA
359,CALDAS,MUNICIPIO,SAN JOSÉ,SAN JOSE,N 5° 5'18{COM},W75°47'37{COM},1750,1054249,1142759,OESTE
360,CALDAS,MUNICIPIO,SUPÍA,SUPIA,N 5°27'38{COM},W75°39'12{COM},1184,1095457,1158224,OESTE
361,CALDAS,MUNICIPIO,VICTORIA,VICTORIA,N 5°19'11{COM},W74°54'54{COM},675,1079757,907541,BOGOTA
362,CALDAS,MUNICIPIO,VILLAMARÍA,VILLAMARIA,N 5° 2'52{COM},W75°30'56{COM},1944,1049797,840889,BOGOTA
363,CALDAS,MUNICIPIO,VITERBO,VITERBO,N 5° 3'52{COM},W75°52'33{COM},1000,1051589,1133644,OESTE
364,CAQUETÁ,MUNICIPIO,FLORENCIA,FLORENCIA,N 1°37' 7{COM},W75°37' 4{COM},266,670485,1162836,OESTE
365,CAQUETÁ,MUNICIPIO,ALBANIA,ALBANIA,N 1°19'56{COM},W75°52'57{COM},270,638791,1133386,OESTE
366,CAQUETÁ,MUNICIPIO,BELÉN DE LOS ANDAQUÍES,BELEN DE LOS ANDAQUIES,N 1°25'10{COM},W75°52'34{COM},313,648438,1134093,OESTE
367,CAQUETÁ,MUNICIPIO,CARTAGENA DEL CHAIRÁ,CARTAGENA DEL CHAIRA,N 1°20'59{COM},W74°50'26{COM},242,640707,915455,BOGOTA
368,CAQUETÁ,MUNICIPIO,CURILLO,CURILLO,N 1° 2' 6{COM},W75°55'29{COM},232,605916,1128700,OESTE
369,CAQUETÁ,MUNICIPIO,EL DONCELLO,EL DONCELLO,N 1°40'45{COM},W75°16'48{COM},373,677163,866561,BOGOTA
