id,department,classification,municipality,municipalCapital,latitude,longitude,altitude,northCoordinate,eastCoordinate,origin
43,ANTIOQUIA,MUNICIPIO,CAROLINA,CAROLINA,N 6°43'34{COM},W75°17' 3{COM},1800,1235388,866956,BOGOTA
44,ANTIOQUIA,MUNICIPIO,CAUCASIA,CAUCASIA,N 7°59'25{COM},W75°11'51{COM},51,1375200,876889,BOGOTA
45,ANTIOQUIA,MUNICIPIO,CHIGORODÓ,CHIGORODO,N 7°40'21{COM},W76°41' 5{COM},31,1339909,1043714,OESTE
46,ANTIOQUIA,MUNICIPIO,CISNEROS,CISNEROS,N 6°32'29{COM},W75° 5'28{COM},1044,1214908,888263,BOGOTA
47,ANTIOQUIA,MUNICIPIO,CIUDAD BOLÍVAR,CIUDAD BOLIVAR,N 5°51'15{COM},W76° 1'32{COM},1180,1138907,1116885,OESTE
48,ANTIOQUIA,MUNICIPIO,COCORNÁ,COCORNA,N 6° 3'40{COM},W75°11'21{COM},1300,1161808,877303,BOGOTA
49,ANTIOQUIA,MUNICIPIO,CONCEPCIÓN,CONCEPCION,N 6°23'50{COM},W75°15'44{COM},1900,1199003,869297,BOGOTA
50,ANTIOQUIA,MUNICIPIO,CONCORDIA,CONCORDIA,N 6° 2'57{COM},W75°54'34{COM},1950,1160501,1129700,OESTE
51,ANTIOQUIA,MUNICIPIO,COPACABANA,COPACABANA,N 6°20'57{COM},W75°30'48{COM},1400,1193757,841493,BOGOTA
52,ANTIOQUIA,MUNICIPIO,DABEIBA,DABEIBA,N 7° 0'13{COM},W76°16'12{COM},412,1265991,1089608,OESTE
53,ANTIOQUIA,MUNICIPIO,DON MATÍAS,DON MATIAS,N 6°29'22{COM},W75°23'54{COM},2200,1209241,854261,BOGOTA
54,ANTIOQUIA,MUNICIPIO,EBÉJICO,EBEJICO,N 6°19'43{COM},W75°46' 8{COM},1250,1191448,1145188,OESTE
55,ANTIOQUIA,MUNICIPIO,EL BAGRE,EL BAGRE,N 7°35'39{COM},W74°48'44{COM},50,1331293,919295,BOGOTA
56,ANTIOQUIA,MUNICIPIO,ENTRERRIOS,ENTRERRIOS,N 6°34' 9{COM},W75°31'16{COM},2292,1218097,840701,BOGOTA
57,ANTIOQUIA,MUNICIPIO,ENVIGADO,ENVIGADO,N 6°10'22{COM},W75°35'28{COM},1566,1174262,1164914,OESTE
58,ANTIOQUIA,MUNICIPIO,FREDONIA,FREDONIA,N 5°55'42{COM},W75°40'33{COM},1820,1147196,1155604,OESTE
59,ANTIOQUIA,MUNICIPIO,FRONTINO,FRONTINO,N 6°46'60{COM},W76° 7'55{COM},1500,1241655,1104913,OESTE
60,ANTIOQUIA,MUNICIPIO,GIRALDO,GIRALDO,N 6°40'59{COM},W75°57'23{COM},1950,1230605,1124350,OESTE
61,ANTIOQUIA,MUNICIPIO,GIRARDOTA,GIRARDOTA,N 6°22'50{COM},W75°27' 4{COM},1400,1197211,848389,BOGOTA
62,ANTIOQUIA,MUNICIPIO,GÓMEZ PLATA,GOMEZ PLATA,N 6°41' 2{COM},W75°13'20{COM},1750,1230701,873795,BOGOTA
