id,indicatorId,initialNumber,finalNumber,company,ndc
95946,922,9108000,9108499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95947,922,9108700,9108999,(DISPONIBLE),8
95948,863,7500000,7503999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95949,863,7504000,7505999,(DISPONIBLE),8
95950,863,9136500,9137499,(DISPONIBLE),8
95951,899,7520000,7520999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95952,899,7521000,7521999,(DISPONIBLE),8
95953,899,8033600,8033699,(DISPONIBLE),8
95954,899,9177000,9177499,(DISPONIBLE),8
95955,847,7524000,7524999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95956,847,8027000,8027099,(DISPONIBLE),8
95957,847,9119000,9119499,(DISPONIBLE),8
95958,914,7527000,7527999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95959,914,8035100,8035199,(DISPONIBLE),8
95960,914,9192000,9192499,(DISPONIBLE),8
95961,1731,7529000,7529999,(DISPONIBLE),8
95962,1731,8026800,8026899,(DISPONIBLE),8
95963,1731,9118000,9118499,(DISPONIBLE),8
95964,908,7531000,7531499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95965,908,8034400,8034499,(DISPONIBLE),8
95966,908,9185000,9185999,(DISPONIBLE),8
95967,852,7533000,7533499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95968,852,8028400,8028499,(DISPONIBLE),8
95969,852,9130500,9130999,(DISPONIBLE),8
95970,865,7535000,7535599,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95971,865,8029300,8029399,(DISPONIBLE),8
95972,865,9139000,9139999,(DISPONIBLE),8
95973,912,7538000,7538499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95974,912,8034900,8034999,(DISPONIBLE),8
95975,912,9190500,9190999,(DISPONIBLE),8
95976,869,7539000,7539499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95977,869,8029900,8029999,(DISPONIBLE),8
95978,869,9144000,9144499,(DISPONIBLE),8
95979,864,7540000,7542999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95980,864,7543000,7543499,TELMEX COLOMBIA S.A.,8
95981,864,8029200,8029299,(DISPONIBLE),8
95982,864,9138000,9138099,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95983,864,9138100,9138999,(DISPONIBLE),8
95984,1732,7549000,7549999,(DISPONIBLE),8
95985,1732,8025700,8025799,(DISPONIBLE),8
95986,1732,9109000,9109399,(DISPONIBLE),8
95987,871,7590000,7590499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95988,871,8030300,8030399,(DISPONIBLE),8
95989,871,9147000,9147499,(DISPONIBLE),8
95990,881,7592000,7592499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95991,881,8031400,8031499,(DISPONIBLE),8
95992,881,9156500,9156999,(DISPONIBLE),8
95993,882,7594000,7594499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95994,882,8031500,8031599,(DISPONIBLE),8
95995,882,9157000,9157499,(DISPONIBLE),8
95996,857,7600000,7639999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
95997,857,7640000,7640999,(DISPONIBLE),8
95998,857,7650000,7651799,TELMEX TELECOMUNICACIONES S.A. ESP,8
95999,857,7651800,7658899,TELMEX COLOMBIA S.A.,8
96000,857,7658900,7669999,(DISPONIBLE),8
96001,857,9131000,9131199,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96002,857,9131200,9131999,(DISPONIBLE),8
96003,907,7700000,7739999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96004,907,7740000,7742999,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,8
96005,907,7750000,7751799,TELMEX TELECOMUNICACIONES S.A. ESP,8
96006,907,7751800,7756299,TELMEX COLOMBIA S.A.,8
96007,907,9184000,9184199,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96008,907,9184200,9184999,(DISPONIBLE),8
96009,1616,7770000,7770499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96010,1616,7780000,7780999,(DISPONIBLE),8
96011,1616,8028700,8028799,(DISPONIBLE),8
96012,1616,9133500,9134499,(DISPONIBLE),8
96013,843,7771000,7771999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96014,843,7773000,7774999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96015,843,7775000,7775999,(DISPONIBLE),8
96016,843,8031000,8031099,(DISPONIBLE),8
96017,843,9153500,9154499,(DISPONIBLE),8
96018,874,7772000,7772599,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96019,874,8030600,8030699,(DISPONIBLE),8
96020,874,9149500,9150499,(DISPONIBLE),8
96021,855,7777000,7777999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96022,855,8027800,8027899,(DISPONIBLE),8
96023,855,9126500,9126999,(DISPONIBLE),8
96024,1617,7778000,7778999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96025,1617,7788000,7788999,(DISPONIBLE),8
96026,1617,8029000,8029099,(DISPONIBLE),8
96027,1617,9135500,9136499,(DISPONIBLE),8
96028,875,7781000,7781999,(DISPONIBLE),8
96029,875,7782000,7782999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96030,875,8030700,8030799,(DISPONIBLE),8
96031,875,9150500,9150599,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96032,875,9150600,9150999,(DISPONIBLE),8
96033,887,7784000,7784499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96034,887,7785000,7786999,(DISPONIBLE),8
96035,887,8032100,8032199,(DISPONIBLE),8
96036,887,9162500,9163499,(DISPONIBLE),8
96037,867,7790000,7790999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96038,867,8029500,8029599,(DISPONIBLE),8
96039,916,7792000,7792099,TELMEX COLOMBIA S.A.,8
96040,916,7792100,7792999,(DISPONIBLE),8
96041,916,7793000,7793999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96042,916,9193500,9194499,(DISPONIBLE),8
96043,840,7794000,7794999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96044,840,7795000,7795199,TELMEX COLOMBIA S.A.,8
96045,840,8025800,8025899,(DISPONIBLE),8
96046,840,9109500,9109599,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96047,840,9109600,9109999,(DISPONIBLE),8
96048,921,7797000,7797499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96049,921,8035600,8035699,(DISPONIBLE),8
96050,921,9197000,9197499,(DISPONIBLE),8
96051,1733,7798000,7798999,(DISPONIBLE),8
96052,1733,8035700,8035799,(DISPONIBLE),8
96053,1733,9197500,9198499,(DISPONIBLE),8
96054,1734,7799000,7799999,(DISPONIBLE),8
96055,1734,8028200,8028299,(DISPONIBLE),8
96056,1734,9129000,9129499,(DISPONIBLE),8
96057,1735,7808000,7808999,(DISPONIBLE),8
96058,1735,8027900,8027999,(DISPONIBLE),8
96059,1735,9127000,9127499,(DISPONIBLE),8
96060,1736,7810000,7810999,(DISPONIBLE),8
96061,1736,8029700,8029799,(DISPONIBLE),8
96062,1736,9142500,9143499,(DISPONIBLE),8
96063,1738,7813000,7813999,(DISPONIBLE),8
